question,answer,evidence
"환원제비(Reducing agent Ratio, R.R, RAR)이 무엇입니까","환원제비(Reducing agent Ratio, R.R, RAR)는 코크스비와 미분탄비를 합한 것으로, 연료비 또는 Reductant Ratio라고도 부릅니다. 이 값은 고로에서의 환원 과정에 필요한 연료량을 나타냅니다.","[1] type=image_formula | file=images_formula_final.json | score=0.6050
[문서: 조업공정식 해설] [경로: 4. 조업 기준 / 4.2 원료, 연료 / 4.2.10 환원제비 (kg/t-p)] 4.2.10 환원제비 (kg/t-p) = 코크스비 (kg/t-p) + 미분탄비 (kg/t-p)       (또는, 연료비, Fuel Ratio, RAR: Reduction Agent Ratio, RR: Reductant Ratio 이라고도 함)

[2] type=table_str | file=tables_str_final.json | score=0.5609
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.3 소결광 품질관리 용어] 용어: 환원율(RI)(Reduction Index) | 단위: % | 정의: 고로내에서 소결광의 환원성을 나타내는 지수이다.

[3] type=table_str | file=tables_str_final.json | score=0.5291
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.3 소결광 품질관리 용어] ['용어: 환원율(RI)(Reduction Index) | 단위: % | 정의: 고로내에서 소결광의 환원성을 나타내는 지수이다.', '용어: 피환원성 | 단위: - | 정의: 철광석중 산소가 제거되기 쉬운 정도를 말하며, 이는 고로 연료비 및 생산성에 큰 영향을 준다.']

[4] type=text | file=texts_final.json | score=0.5060
[문서: 노열관리 및 보상기준] [경로: 4. 조업기준 / 4.5 풍구선단 보정 환원제비 (RAR.RT)에 의한 노열보상 / (1) RAR.RT 의 개념 / 풍구 선단 보정 RAR (RAR.RT) 개념 / ▶ RAR.RT (풍구 선단 보정 환원제비)] MES 조입 Monitoring 화면 RAR.RT 항목신설

{{IMG_SUM_002}}

○ 활용방법
● 분 Data 조화시 PCI 취입편차로 인해 편차가 크기때문에 10분 Data로 조화 후 상승 또는 하강추세를 보고 노열 Action 실시

[5] type=image_sum | file=images_sum_final.json | score=0.4641
[문서: 노열관리 및 보상기준] [경로: 4. 조업기준 / 4.5 풍구선단 보정 환원제비 (RAR.RT)에 의한 노열보상 / (1) RAR.RT 의 개념] 이 도표에는 열풍로의 승온 과정 및 관련 변수가 포함되어 있습니다."
고로에 주입하는 원료는 무엇이 있습니까? ,"고로에 주입되는 주요 원료는 부원료(Flux)를 포함하며, 이는 Slag 제조 및 후공정 요구에 알맞은 용선 품질을 만들기 위해 첨가하는 것으로 알려져 있습니다. 하지만 구체적인 모든 종류의 원료를 명시하지 않았습니다. 예를 들어 규석, 석회석, 사문암, 망간, CIP 등이 포함될 수 있지만, 이것이 완전한 목록은 아닙니다.","[1] type=text | file=texts_final.json | score=0.5914
[문서: 장입 연,원료 용어의 기준] [경로: 2. 목적 / 가. 고로공정중 장입 원, 연료에 관련된 용어를 정확하게 인식하여 공정관리자 및 조업자 상호간의 원활한 의사 소통과 정보 전달을 가능하기 위함이다.나. 고로 장입물(원, 연료)의 특성을 이해하여 입조 및 관리 기준, 재고상태 등을 파악하여, 향후 노황을 예측하여 고로에서 요구하는 양질의 원, 연료를 안정적으로 공급하기 위함이다.] # 2. 목적

## 가. 고로공정중 장입 원, 연료에 관련된 용어를 정확하게 인식하여 공정관리자 및 조업자 상호간의 원활한 의사 소통과 정보 전달을 가능하기 위함이다.나. 고로 장입물(원, 연료)의 특성을 이해하여 입조 및 관리 기준, 재고상태 등을 파악하여, 향후 노황을 예측하여 고로에서 요구하는 양질의 원, 연료를 안정적으로 공급하기 위함이다.

[2] type=text | file=texts_final.json | score=0.5880
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] {{TB_STR_003}}

[3] type=text | file=texts_final.json | score=0.5618
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] ## 4.1 고로사용 원료의 종류 및 정의 (특징)

{{TB_STR_002}}

[4] type=text | file=texts_final.json | score=0.5587
[문서: 고로일반 용어의 기준] [경로: 4. 조업 기준 / 4.6 고로장입 원, 연료 성상 용어] ## 4.6 고로장입 원, 연료 성상 용어

{{TB_STR_007}}

[5] type=table_str | file=tables_str_final.json | score=0.5514
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] col1: 부원료(Flux) | col2: - | col3: 고로 조업에 알맞은 Slag 제조 및 후공정 요구에 알맞은 용선 품질을 만들기 위해 첨가하는 원료의 통칭종류: 규석, 석회석, 사문암, 망간, CIP 등"
원료에서 Blending을 하는 이유가 무엇입니까?,"컨텍스트에서 직접적인 답변은 나오지 않았지만, 일반적으로 Blending을 하는 이유는 다양한 원료를 혼합하여 일정한 품질과 성분비율을 유지하면서 고로에 공급하기 위함입니다. 이를 통해 생산 과정의 안정성을 확보하고, 최적의 조업 효율을 달성할 수 있습니다.","[1] type=text | file=texts_final.json | score=0.3825
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] {{TB_STR_003}}

[2] type=text | file=texts_final.json | score=0.3720
[문서: 장입 연,원료 용어의 기준] [경로: 2. 목적 / 가. 고로공정중 장입 원, 연료에 관련된 용어를 정확하게 인식하여 공정관리자 및 조업자 상호간의 원활한 의사 소통과 정보 전달을 가능하기 위함이다.나. 고로 장입물(원, 연료)의 특성을 이해하여 입조 및 관리 기준, 재고상태 등을 파악하여, 향후 노황을 예측하여 고로에서 요구하는 양질의 원, 연료를 안정적으로 공급하기 위함이다.] # 2. 목적

## 가. 고로공정중 장입 원, 연료에 관련된 용어를 정확하게 인식하여 공정관리자 및 조업자 상호간의 원활한 의사 소통과 정보 전달을 가능하기 위함이다.나. 고로 장입물(원, 연료)의 특성을 이해하여 입조 및 관리 기준, 재고상태 등을 파악하여, 향후 노황을 예측하여 고로에서 요구하는 양질의 원, 연료를 안정적으로 공급하기 위함이다.

[3] type=text | file=texts_final.json | score=0.3716
[문서: 뱅킹(Banking) 조업시 감광 기준] [경로: 6. 기술이론 / 6.2 충진원료 적용성분 (단위:%)] ## 6.2 충진원료 적용성분 (단위:%)

{{TB_UNSTR_001}}

[4] type=table_str | file=tables_str_final.json | score=0.3705
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.4 Pellet 품질관리 용어] 용어: Pelletizing | 단위: - | 정의: 분체 · 용용액 · 농축액 등을 입상(粒狀)으로 하는 조작을 조립(造粒: granulation)이라고 하는데, 펠레타이징은 그것들 중의 한 방법이다

[5] type=text | file=texts_final.json | score=0.3684
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] ## 4.1 고로사용 원료의 종류 및 정의 (특징)

{{TB_STR_002}}"
고로 내에 부원료를 사용하는 이유는 무엇입니까?,"고로 내에서 부원료를 사용하는 이유는 고로 조업에 알맞은 슬래그(Slag)를 제조하고, 후공정 요구에 맞는 용선 품질을 만들기 위함입니다. 이는 규석, 석회석 등 다양한 종류의 부원료를 통해 이루어집니다.","[1] type=text | file=texts_final.json | score=0.5469
[문서: 장입물 충진작업 기준] [경로: 4. 조업기준 / 4.2 충진용 장입물 설정기준 / 4.2.2 부원료 / 나. 규석, 석회석] o 고로별 총진용 부원료 사용실적

{{TB_STR_008}}

[2] type=table_str | file=tables_str_final.json | score=0.5167
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] col1: 부원료(Flux) | col2: - | col3: 고로 조업에 알맞은 Slag 제조 및 후공정 요구에 알맞은 용선 품질을 만들기 위해 첨가하는 원료의 통칭종류: 규석, 석회석, 사문암, 망간, CIP 등

[3] type=text | file=texts_final.json | score=0.5048
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] {{TB_STR_003}}

[4] type=table_str | file=tables_str_final.json | score=0.4924
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] col1: TiO₂광 | col2: - | col3: 사용 목적: 고로의 노저온도 상승시 노저 부위에 티탄층을 형성시켜 노저를 보호하기 위한 목적으로 사용

[5] type=text | file=texts_final.json | score=0.4895
[문서: 장입 연,원료 용어의 기준] [경로: 4. 조업 기준 / 4.1 고로사용 원료의 종류 및 정의 (특징)] ## 4.1 고로사용 원료의 종류 및 정의 (특징)

{{TB_STR_002}}"
"통기성(Permeability, K)이 무엇입니까?","통기성(Permeability, K)은 고로 내에서 노하부에서 발생한 가스가 장입물의 충진층 사이를 빠져나가는 정도를 의미합니다. 이는 물질의 유동화 상태를 나타내며, Carman의 총진층 압력손실식 ΔP = K.G²-β)/(을 통해 도출됩니다(고로의 경우 β=0.3이 적용됩니다).","[1] type=text | file=texts_final.json | score=0.4433
[문서: 조업공정식 해설] [경로: 4. 조업 기준 / 4.3 개스류 및 노내반응 / 4.3.2 통기저항지수 (K)] ### 4.3.2 통기저항지수 (K)
{{IMG_SUM_019}}
* Carman 의 총진층 압력손실식 Δ P = K.G²-β)/( 으로 부터 유도 (고로의 경우 β=0.3 적용)

{{TB_STR_002}}

[2] type=text | file=texts_final.json | score=0.4283
[문서: 노황관리 용어의기준] [경로: 4. 조업 기준 / 4.3 PCI 취입 기술 관련 / 나. 통기성, 풍액성 : 고로내 물질의 유동화 정도로써 통기성은 노하부에서 발생한 Gas 가 장입물의 충진층 사이를 빠져 나가는 정도이며 풍액성은 적하대 하부의 용용물(용선, Slag)이 노내 코크스를 빠져 나가는 정도를 말한다.] ## 4.3 PCI 취입 기술 관련

### 가. All Coke 도입 : 노내에 장입되는 연료중에 풍구부로 취입되는 PCI, 중유 등의 보조연료를 사용하지 않고 순수하게 Coke 만 장입하여 열 Balance 를 유지하는 조업.

### 나. 통기성, 풍액성 : 고로내 물질의 유동화 정도로써 통기성은 노하부에서 발생한 Gas 가 장입물의 충진층 사이를 빠져 나가는 정도이며 풍액성은 적하대 하부의 용용물(용선, Slag)이 노내 코크스를 빠져 나가는 정도를 말한다.

[3] type=table_str | file=tables_str_final.json | score=0.4145
[문서: 조업공정식 해설] [경로: 4. 조업 기준 / 4.3 개스류 및 노내반응 / 4.3.2 통기저항지수 (K)] ['단구분: UK | 1 고로: TP - SP6 | 2,3,4 고로: TP - SP10', '단구분: MK | 1 고로: SP6 - SP3 | 2,3,4 고로: SP10 - SP6', '단구분: LK | 1 고로: SP3 - BP | 2,3,4 고로: SP6 - BP']

[4] type=table_str | file=tables_str_final.json | score=0.4118
[문서: 조업공정식 해설] [경로: 4. 조업 기준 / 4.3 개스류 및 노내반응 / 4.3.2 통기저항지수 (K)] 단구분: LK | 1 고로: SP3 - BP | 2,3,4 고로: SP6 - BP

[5] type=text | file=texts_final.json | score=0.4038
[문서: Slag 염기도 및 유동성 관리기준] [경로: 6. 기술이론 / 6.4 SLAG 의 유동성 / 6.4.1 점성(점도, VISCOSITY)] {{IMG_SUM_001}}
그림 1. 점성의 정의

여기서 η는 내부마찰계수로서 점성을, 점성계수 또는 절대점도라 한다.

점성계수 η의 단위는 c.g.s. 단위계(dyn.sec/cm²)로 나타낼때는 그 단위를 poise로 부른다.

또 η(poise)를 밀도ρ(g/cm³)로 나눌때 값 η/ρ를 동점성계수 또는 동점도라 하고 그 단위는 stokes라 한다.

표 1. 에 점성계수 값의 개념을 알기 쉽게 대표적인 물질의 점도를 나타냈다.

[표 1. 대표적인 물질의 점도]

{{TB_STR_004}}"
Coke 품질 지표로 WF-DI30150 가 나오는데 그것이 의미하는 것이 무엇입니까?,"WF-DI30150은 Coke의 물리적 성질을 나타내는 지표로, 컨텍스트에서 WF DI(%)로 언급되고 있다. 이 값은 고로 유형에 따라 최소 요구 기준이 다르며, 2고로에서는 ≥84%, 3고로와 4고로에서는 ≥86%를 요구한다. 그러나 특정 숫자 30150의 의미는 제공된 컨텍스트에서 명확히 나타나지 않으므로 모릅니다.","[1] type=table_str | file=tables_str_final.json | score=0.6254
[문서: COKE 및 COAL 품질관리 기준] [경로: 4. 조업 기준 / 4.1 Coke 품질관리 기준] 항목: Wf DI (%) | 2고로: ≥ 84 | 3고로: ≥ 86 | 4고로: ≥ 86 | 비고:

[2] type=table_str | file=tables_str_final.json | score=0.5655
[문서: COKE 및 COAL 품질관리 기준] [경로: 4. 조업 기준 / 4.1 Coke 품질관리 기준] ['항목: Wf DI (%) | 2고로: ≥ 84 | 3고로: ≥ 86 | 4고로: ≥ 86 | 비고: ', '항목: MS (mm) | 2고로: ≥ 50 | 3고로: ≥ 50 | 4고로: ≥ 50 | 비고: ', '항목: Ash (%) | 2고로: ≤ 12.0 | 3고로: ≤ 12.0 | 4고로: ≤ 12.0 | 비고: ']

[3] type=table_str | file=tables_str_final.json | score=0.5583
[문서: COKE 및 COAL 품질관리 기준] [경로: 5. 이상판단 및 조치기준 / 5.1 Coke 관리기준 초과 조치범위] 항목: Wf DI | 2 ~ 4 고로: 관리기준 - 2% | 비고: 좌측항목안의 관리기준을 초과한 사항에 대해

[4] type=text | file=texts_final.json | score=0.5432
[문서: COKE 및 COAL 품질관리 기준] [경로: 4. 조업 기준 / 4.1 Coke 품질관리 기준] ## 4.1 Coke 품질관리 기준

{{TB_STR_002}}

[5] type=text | file=texts_final.json | score=0.5286
[문서: COKE 및 COAL 품질관리 기준] [경로: 3. 중점관리 항목] # 3. 중점관리 항목

{{TB_STR_001}}"
Coke 품질 지표로 CSR이 나오는데 그것은 무슨 의미입니까?,"CSR은 Coke Strength Reaction의 약자로, 열간에서 코크스가 반응한 후 남아 있는 강도를 의미합니다. 단위는 mm로 표시됩니다.","[1] type=text | file=texts_final.json | score=0.5852
[문서: COKE 및 COAL 품질관리 기준] [경로: 4. 조업 기준 / 4.1 Coke 품질관리 기준] ## 4.1 Coke 품질관리 기준

{{TB_STR_002}}

[2] type=text | file=texts_final.json | score=0.5716
[문서: COKE 및 COAL 품질관리 기준] [경로: 6. 기술이론 / 6.1 Coke 품질이 고로 조업에 미치는 영향 / 6.1.3 Coke 품질에 따른 상관성 비교] ### 6.1.3 Coke 품질에 따른 상관성 비교

{{IMG_SUM_001}}

[3] type=table_str | file=tables_str_final.json | score=0.5667
[문서: 고로일반 용어의 기준] [경로: 4. 조업 기준 / 4.6 고로장입 원, 연료 성상 용어] 용어: ○ CSR(Coke StrengthReaction) | 단위: mm | 정의: - 열간에서 Coke가 반응하고 난 후의 강도 | 비고:

[4] type=text | file=texts_final.json | score=0.5520
[문서: COKE 및 COAL 품질관리 기준] [경로: 4. 조업 기준 / 4.2 Coal 품질 성상] ## 4.2 Coal 품질 성상

{{TB_UNSTR_001}}

[5] type=text | file=texts_final.json | score=0.5474
[문서: COKE 및 COAL 품질관리 기준] [경로: 3. 중점관리 항목] # 3. 중점관리 항목

{{TB_STR_001}}"
"고로 조업의 연료로서 PC(Purverized Coal, 미분탄)를 사용하는데, 통기성에도 좋지 않는데 왜 사용비를 증가시키려고 하는 겁니까?","PC(Purverized Coal) 사용 비율을 증가시키려는 이유는 연료비 절감과 효율 향상에 따른 경제적 이점이 크기 때문입니다. 고로 조업에서 PC를 다량으로 취입함으로써 고가의 Coke 대체가 가능해지며, 이는 CO₂ 발생 감소와 에너지 가격 변동에 대한 탄력성을 높이는 효과도 있습니다. 다만, 통기성 저하 등의 문제점을 최적화하면서 이러한 목표를 달성하고자 기술 개발이 진행되고 있습니다.","[1] type=text | file=texts_final.json | score=0.5595
[문서: 고출선비 조업시 연,원료 품질관리 기준] [경로: 4. 조업기준 / 4.3 Coke 및 PCI Coal 품질개선 목표] ## 4.3 Coke 및 PCI Coal 품질개선 목표
고출선비 조업시에는 노상부에 장입된 Coke 는 송풍에너지 증가 및 강한 Speed 증가에 의하여 기본적으로 분화되기 쉽고 노심 부위에 촉적된 분 Coke 는 Slag 유동성을 저하시켜 노하부 통액성에 악영향을 미치므로 입도 및 냉간, 열간 강도의 증가가 요구된다. 또한 Coke Ash 는 0.1% 저하시 출선비 0.2% 증가 효과가 있으므로 최대한 낮추어서 연료비 저감을 도모한다.

PCI Coal 은 연료비와 Gas Volume 의 감소를 위하여 가능한 고발열량, 저휘발분의 반무연탄을 사용하는 것이 유리하나, 저휘발분의 반무연탄을 전량 사용시 연소성 악화에 의하여 노심에 미연소 Coal 의 촉적으로 노화학화의 위험이 있으므로 연소성을 고려하여 고 휘발분 Coal 을 일정 비율로 혼합하여 사용해야 하며, 풍구전 반응에 의한 SiO Gas 발생 최소화를 위하여 저 SiO₂ Coal 을 사용한다.

[2] type=text | file=texts_final.json | score=0.5588
[문서: 미분탄 취입 용어의 기준] [경로: 4. 조업기준 / 4.4 “Coal 연소성 향상방안”관련 용어] ## 4.4 “Coal 연소성 향상방안”관련 용어

{{TB_STR_005}}

[3] type=text | file=texts_final.json | score=0.5487
[문서: 고로사용 연료(Coke,Coal)의 기준] [경로: 4. 조업기준 / 4.2. 고로에서 요구되는 Coke의 특징 / 4.2.2 P₂O₅가 적을 것] Coke 중의 P₂O₅ 는 대부분이 선철중에 고용된다. 따라서 이 [P]는 강재 품질을 악화시키므로 적은 것이 유리함.

[4] type=text | file=texts_final.json | score=0.5471
[문서: 미분탄 취입시 노내변화 기준] [경로: 6. 기술이론 / 6.1 미분탄 취입기술 개요] 에는 노내 O/C 증가에 대한 통기성의 악화, 단위시간당 취입량 증대에 의한 연소성 저하의 문제점, 연소성 저하에 의한 노내 통기저항 증가 및 노하부 풍액성 악화, GAS류 변동에 의한 제반 조업지수의 상이성으로 인해 취입비 증대의 장애요인으로 작용하였다.

그러나 미분탄 취입기술은 70년대 개발 이후에 약 30년 가까이 발전해 오면서 현재 출선비 2.0 T/D/m³ 하에서 년평균 200Kg/T-P 수준의 조업을 안정적으로 실시할 수 있는 수준까지 발전하였다.

미분탄 취입의 한계는 명확하게 규정되지는 않았으나 현재 약 250~ 300Kg/T-P로 추정하고 있으며 취입량의 증가는 COKE 가동율을 낮추는 결과를 가져와 COKE OVEN의 수명을 현재의 40년에서 그 이상으로 늘릴 수 있는 여지를 제공하고 있고 환경측면에서는 CO₂ 발생을 줄일 수 있어서 ALL COKE 조업 대비 유리하다. 또한 최근 선진국을 중심으로 시작되고 있는 탄소세 부과시 미래의 용선제조원가를 좌우하는 결정적인 요인으로 작용할것으로 예상되고있다.

고로조업 측면에서는 취입비의 지속적 증대기술, 취입탄종의 확대 등을 통해 경제성을 확보해 나가는 한편 고출선비 조업하에 고미분탄 취입시 안정적인 노황유지 조업기술의 확보, 고 PCI 조업하에 노체, 노저를 건전하게 유지할 수 있는 장수명화 기술의 개발, 유가 변동 등 에너지 가격변동에 탄력적으로 대응할 수 있도록 기술개발의 방향이 정립되고 있다.

[5] type=text | file=texts_final.json | score=0.5442
[문서: 미분탄 취입시 노내변화 기준] [경로: 6. 기술이론 / 6.1 미분탄 취입기술 개요] ## 6.1 미분탄 취입기술 개요
고로조업에서 미분탄 다량취입의 기술적 의의는 고로에서 보조연료 취입수단의 하나로서 고가의 COKE를 저가의 유연탄으로 대체하는 것으로 -200MESH가 80% 이상이 되도록 GRINDING 하여 노하부의 풍구를 통해 취입하는 PROCESS로서 PCI조업은 COKE를 최대한 대체하여 경제적인 조업을 하는데 있다. 그러나 최근에는 COKE 대체라는 단순의미 이외에도 고로 PROCESS에 대한 개념을 새로이 정립하는 수준까지 PCI조업의 역할 및 그 중요도가 발전하였다.

미분탄 조업에 의한 산소부화의 도입은 기존의 송풍개념을 변화시켰으며 복합송풍의 실시에 의해서 고출선비 조업시 문제가 되는 열류비의 효과적 제어가 가능하였고 미분탄 조업의 실시는 출선비 증대와 고로조업의 안정화라는 부수적인 효과를 보았다.

미분탄 취입조업은 ALL COKE 조업과는 달리 노내 온도분포 및 열류비 분포가 상이하여 장입물의 강하, 환원과정이 기존의 ALL COKE 조업과는 다른 특징을 나타내고 있다. 미분탄 취입 초기"
"고로의 모양을 볼 때, 노구에서 Belly 부분까지는 넓어지다가 Bosh 부분에서 다시 좁아지는데 그 이유는 무엇입니까?","고로의 모양이 노구에서 Belly 부분까지 넓어지다가 Bosh 부분에서 다시 좁아지는 이유는 주로 고로 내부에서 발생하는 화학반응과 열교환 과정을 최적화하기 위함입니다. Bosh 각도와 높이는 장입물의 강하 속도와 미환원 광석의 충분한 환원을 조절하는데 중요한 역할을 하며, 이를 통해 노상에 유입되는 물질들의 성질과 양을 제어합니다. 이러한 설계는 고로의 효율성과 장수를 위해 필수적입니다.","[1] type=text | file=texts_final.json | score=0.5904
[문서: 노체 Profile 기본사상 기준] [경로: 6 기술이론 / 6.3 노체 각 부위의 Profile 사상과 변화 / 6.3.4 Bosh] ### 6.3.4 Bosh
최근 고로의 Bosh 각도는 80 ~ 83° 정도인데 각도가 적으면 Gas의 급격한 팽창에 의하여 온도가 저하 되어 장입을 강하 저항이 커지고 높이가 높을 경우에는 봉락의 원인이 된다. 이에 반하여 각도가 클 경우에는 장입을 강하 저항이 적어 노 주변의 장입을 강하 빨라져서 미환원 생광의 낙하가 우려된다. Bosh 부는 장입을 강하 속도가 느려서 미환원 광석을 충분히 환원하여 노상에 유입하는 부분으로 최근에 광석의 정립광화, 광성광의 사용증가에 의하여 일반적으로 Bosh 부의 높이가 낮아지고 있다.

반면에 조입속도의 상승에 의하여 하부 열교환 영역이 상승함에따라 높이를 확보할 필요가 있는데

최근 고로는 Bosh 보다 Shaft 하부 노체 손상이 현저하여 Belly 부의 노벽을 풍구 선단까지 후퇴하여 보호할 목적으로 최근 Bosh 높이를 크게하는 시도도 있다.

[2] type=text | file=texts_final.json | score=0.5589
[문서: 노체 Profile 기본사상 기준] [경로: 6 기술이론 / 6.3 노체 각 부위의 Profile 사상과 변화 / 6.3.4 Bosh / 1) Kimitsu 4BF 개수시 고로 Profile] #### 1) Kimitsu 4BF 개수시 고로 Profile
● 내용적: 5151m³ → 5555m³ (7.8% ↑)
● 노상경: 14.5mm → 15.2mm
● Bosh 각도: 81.404°→ 77.905°
● Shaft 각도: 81.777°→ 80.028°
● Belly 길이: 3500 → 1400mm

[3] type=text | file=texts_final.json | score=0.5207
[문서: 노체 Profile 기본사상 기준] [경로: 6 기술이론 / 6.3 노체 각 부위의 Profile 사상과 변화 / 6.3.4 Bosh / 2) Oita 2BF 개수전후 Profile 변경 및 사상] #### 2) Oita 2BF 개수전후 Profile 변경 및 사상

{{TB_UNSTR_001}}

{{IMG_TR_003}}
그림 4. Oita 2BF 개수전후 Profile 변경

● 2 대기 Bosh Profile 이 융축대근부에서 장입물 강하 불안정 및 원주방향 장입물 강하 불안정 유발하여, 3 대기에는 3 세대 Stave 를 사용하지 않기로 함.

* 1 차 개수시 Belly, Bosh Profile 변경 (1 대기→2 대기)

